,X1,X,long,lat,group,order,region,subregion,State,GeoRegion
14397,14397,14397,-124.1083908,46.98826981,60,14456,washington,NA,WA,Pacific
14398,14398,14398,-124.1083908,47.07421494,60,14457,washington,NA,WA,Pacific
14399,14399,14399,-124.1370316,47.18880463,60,14458,washington,NA,WA,Pacific
14400,14400,14400,-124.1542206,47.25756073,60,14459,washington,NA,WA,Pacific
14401,14401,14401,-124.1943283,47.29766846,60,14460,washington,NA,WA,Pacific
14402,14402,14402,-124.2458954,47.33204269,60,14461,washington,NA,WA,Pacific
14403,14403,14403,-124.2745438,47.40652847,60,14462,washington,NA,WA,Pacific
14404,14404,14404,-124.3031998,47.48674393,60,14463,washington,NA,WA,Pacific
14405,14405,14405,-124.3146439,47.51538849,60,14464,washington,NA,WA,Pacific
14406,14406,14406,-124.3031998,47.53830719,60,14465,washington,NA,WA,Pacific
14407,14407,14407,-124.3203812,47.59560394,60,14466,washington,NA,WA,Pacific
14408,14408,14408,-124.3719559,47.71019745,60,14467,washington,NA,WA,Pacific
14409,14409,14409,-124.3834152,47.75603485,60,14468,washington,NA,WA,Pacific
14410,14410,14410,-124.429245,47.78467941,60,14469,washington,NA,WA,Pacific
14411,14411,14411,-124.4407043,47.83051682,60,14470,washington,NA,WA,Pacific
14412,14412,14412,-124.4750748,47.84197617,60,14471,washington,NA,WA,Pacific
14413,14413,14413,-124.5037308,47.85916519,60,14472,washington,NA,WA,Pacific
14414,14414,14414,-124.5667496,47.89927292,60,14473,washington,NA,WA,Pacific
14415,14415,14415,-124.5953979,47.94510651,60,14474,washington,NA,WA,Pacific
14416,14416,14416,-124.6355057,47.98521423,60,14475,washington,NA,WA,Pacific
14417,14417,14417,-124.646965,48.07688904,60,14476,washington,NA,WA,Pacific
14418,14418,14418,-124.6813431,48.15710068,60,14477,washington,NA,WA,Pacific
14419,14419,14419,-124.6584244,48.23158646,60,14478,washington,NA,WA,Pacific
14420,14420,14420,-124.6355057,48.28888321,60,14479,washington,NA,WA,Pacific
14421,14421,14421,-124.624054,48.34045029,60,14480,washington,NA,WA,Pacific
14422,14422,14422,-124.6641617,48.35190964,60,14481,washington,NA,WA,Pacific
14423,14423,14423,-124.6813431,48.3805542,60,14482,washington,NA,WA,Pacific
14424,14424,14424,-124.6355057,48.39201736,60,14483,washington,NA,WA,Pacific
14425,14425,14425,-124.5896683,48.39201736,60,14484,washington,NA,WA,Pacific
14426,14426,14426,-124.4979935,48.36909866,60,14485,washington,NA,WA,Pacific
14427,14427,14427,-124.4177856,48.32899094,60,14486,washington,NA,WA,Pacific
14428,14428,14428,-124.3318481,48.30034256,60,14487,washington,NA,WA,Pacific
14429,14429,14429,-124.2745438,48.28888321,60,14488,washington,NA,WA,Pacific
14430,14430,14430,-124.2229843,48.26596451,60,14489,washington,NA,WA,Pacific
14431,14431,14431,-124.1542206,48.25450516,60,14490,washington,NA,WA,Pacific
14432,14432,14432,-124.0797424,48.23158646,60,14491,washington,NA,WA,Pacific
14433,14433,14433,-124.0453568,48.20293808,60,14492,washington,NA,WA,Pacific
14434,14434,14434,-123.9135818,48.1742897,60,14493,washington,NA,WA,Pacific
14435,14435,14435,-123.7703476,48.15710068,60,14494,washington,NA,WA,Pacific
14436,14436,14436,-123.6328278,48.1742897,60,14495,washington,NA,WA,Pacific
14437,14437,14437,-123.5755386,48.14564514,60,14496,washington,NA,WA,Pacific
